date,kidid,gender,race,birthday,age (months),age (years),bilingual,2ndlang,trial,forcedchoice,standardlabel,order,condition,dimension,response,notes
10/24/2024,6,male,other,10/10/2020,48.00,4.00,,,4,,the zimbo,123,material,2,material,"asked if the exemplar was ""old""; ""that's a square zimbo, a heart, and a circle, right? all of these are zimbos, right?""; after picking by material, picked by shape and said ""actually it's this one"""
10/24/2024,6,male,other,10/10/2020,48.00,4.00,,,5,,the dax,312,material,1,shape,"wants to play with the dax, ""what's in the --""; ""look! it's a white cake and a flower cake, right?"""
10/24/2024,6,male,other,10/10/2020,48.00,4.00,,,6,,the fep,231,material,1,shape,"""it's kinda like a bowl, like we can put cereal in and eat it, right? but we actually cannot""; ""it's made of paper, right?"""
10/24/2024,6,male,other,10/10/2020,48.00,4.00,,,7,,the blicket,123,material,1,shape,asks what it can do
10/24/2024,7,female,white,3/25/2020,54.00,4.50,,,1,,the gorp,213,function,3,distractor,said it looks like an s or snake
10/24/2024,7,female,white,3/25/2020,54.00,4.50,,,2,,the wap,321,function,1,function,"said that it can open, looks like scissors "
10/24/2024,7,female,white,3/25/2020,54.00,4.50,,,3,,the blint ,132,function,2,shape,"""it can stand"""
10/24/2024,7,female,white,3/25/2020,54.00,4.50,,,4,,the zimbo,213,function,1,function,"""looks like a heart"""
10/24/2024,7,female,white,3/25/2020,54.00,4.50,,,5,,the dax,312,material,1,shape,
10/24/2024,7,female,white,3/25/2020,54.00,4.50,,,6,,the fep,231,material,1,shape,
10/24/2024,7,female,white,3/25/2020,54.00,4.50,,,7,,the blicket,123,material,1,shape,
10/24/2024,8,female,asian,9/29/2020,48.00,4.00,,,1,,the wap,312,material,2,material,
10/24/2024,8,female,asian,9/29/2020,48.00,4.00,,,2,,the blint ,231,material,1,shape,
10/24/2024,8,female,asian,9/29/2020,48.00,4.00,,,3,,the zimbo,123,material,2,material,"""that was very easy for me"""
10/24/2024,8,female,asian,9/29/2020,48.00,4.00,,,4,,the dax,321,function,1,function,"opens and asks whats in there, felt the shape object before choosing -> ""it's also this one"" while moving them off the tray "
10/24/2024,8,female,asian,9/29/2020,48.00,4.00,,,5,,the fep,231,function,1,function,"""this looks like a little table"" , when objects are in front of her ""this is a paper fep"" and asked for confirmation when picking"
10/24/2024,8,female,asian,9/29/2020,48.00,4.00,,,6,,the blicket,213,function,2,shape,puts her choice next to the standard side by side 
10/24/2024,8,female,asian,9/29/2020,48.00,4.00,,,7,,the gorp,321,function,2,shape,says it looks like an S
10/23/2024,9,female,other,9/19/2020,49.00,4.08,,,1,,the dax,123,material,1,shape,
10/23/2024,9,female,other,9/19/2020,49.00,4.08,,,2,,the fep,312,material,1,shape,
10/23/2024,9,female,other,9/19/2020,49.00,4.08,,,3,,the blicket,231,material,1,shape,
10/23/2024,9,female,other,9/19/2020,49.00,4.08,,,4,,the gorp,123,function,1,shape,"""i use a gorp to grab toys""; gave her the duck to play with "
10/23/2024,9,female,other,9/19/2020,49.00,4.08,,,5,,the wap,312,function,2,material,"discovered the fx herself, ""the wap helps me scoop things""; researcher used the yellow duck scoop instead of the orange one which should be propped open"
10/23/2024,9,female,other,9/19/2020,49.00,4.08,,,6,,the blint,231,function,1,shape,"""it's so cool!"""
10/23/2024,9,female,other,9/19/2020,49.00,4.08,,,7,,the zimbo,123,function,2,material,"asks what the object does, researcher needs to orient the zimbo on its side during demonstration and display of test objects"
10/25/2024,10,female,white,5/25/2020,53.00,4.42,,,1,,the dax,231,material,1,shape,
10/25/2024,10,female,white,5/25/2020,53.00,4.42,,,2,,the fep,123,material,2,material,asked if I made it all myself and I said yeah 
10/25/2024,10,female,white,5/25/2020,53.00,4.42,,,3,,the blicket,312,material,2,material,"asks if she can try to ""do it"" & ""do we make music with it"""
10/25/2024,10,female,white,5/25/2020,53.00,4.42,,,4,,the gorp,231,function,2,shape,says its paper and wants help taking it off
10/25/2024,10,female,white,5/25/2020,53.00,4.42,,,5,,the wap,123,function,3,distractor,"said the object name before letting her play with it , ""I want to try and scoop that"""
10/25/2024,10,female,white,5/25/2020,53.00,4.42,,,6,,the blint ,312,function,2,shape,says its heavy and asks what it's called
10/25/2024,10,female,white,5/25/2020,53.00,4.42,,,7,,the zimbo,231,function,2,shape,"said it looked like a heart shape, I had the zimbo the wrong way when demonstrating, picked up and looked at the inside "
10/23/2024,11,female,other,2/15/2020,56.00,4.67,,,1,,the dax,123,material,1,shape,"demographic form states ""F, A, H"" for race"
10/23/2024,11,female,other,2/15/2020,56.00,4.67,,,2,,the fep,312,material,1,shape,
10/23/2024,11,female,other,2/15/2020,56.00,4.67,,,3,,the blicket,231,material,1,shape,"wants to pick all of them, says ""it looks like the same"""
10/23/2024,11,female,other,2/15/2020,56.00,4.67,,,4,,the gorp,123,material,1,shape,makes snake noises
10/23/2024,11,female,other,2/15/2020,56.00,4.67,,,5,,the wap,312,material,2,material,"""you can put playdo in here and then you close it"""
10/23/2024,11,female,other,2/15/2020,56.00,4.67,,,6,,the blint ,231,material,1,shape,
10/23/2024,11,female,other,2/15/2020,56.00,4.67,,,7,,the zimbo,123,material,2,material,
10/30/2024,12,female,decline to state,4/25/2020,54.00,4.50,,,1,,the blint ,231,function,1,shape,was distracted by tour outside
10/30/2024,12,female,decline to state,4/25/2020,54.00,4.50,,,2,,the zimbo,123,function,2,function,
10/30/2024,12,female,decline to state,4/25/2020,54.00,4.50,,,3,,the dax,312,function,3,distractor,said she didnt want to play with it more but then did explore a bit; laughed and might have picked randomly but she did hesitate to select (i reminded her of the dax a few times)
10/30/2024,12,female,decline to state,4/25/2020,54.00,4.50,,,4,,the fep,231,material,1,shape,
10/30/2024,12,female,decline to state,4/25/2020,54.00,4.50,,,5,,the blicket,123,material,1,shape,
10/30/2024,12,female,decline to state,4/25/2020,54.00,4.50,,,6,,the gorp,312,material,1,shape,
10/30/2024,12,female,decline to state,4/25/2020,54.00,4.50,,,7,,the wap,231,material,1,shape,asked what a wap is and i showed her the standard again
10/30/2024,13,male,asian,7/22/2021,39.00,3.25,,,1,,the zimbo,231,material,2,material,"race: ""A, SN"""
10/30/2024,13,male,asian,7/22/2021,39.00,3.25,,,2,,the dax,123,material,2,material,
10/30/2024,13,male,asian,7/22/2021,39.00,3.25,,,3,,the fep,312,material,1,shape,
10/30/2024,13,male,asian,7/22/2021,39.00,3.25,,,4,,the blicket,231,function,1,shape,
10/30/2024,13,male,asian,7/22/2021,39.00,3.25,,,5,,the gorp,123,function,1,shape,"""what's this?"" ""i like that ducky"" ""how this works?"""
10/30/2024,13,male,asian,7/22/2021,39.00,3.25,,,6,,the wap,312,function,1,shape,"discovered the function himself, ""what's inside"""
10/30/2024,13,male,asian,7/22/2021,39.00,3.25,,,7,,the blint ,231,function,1,shape,
10/30/2024,14,male,asian,10/10/2020,48.00,4.00,,,1,,the dax,231,function,2,function,"spins the dax, flips it around but doesnt open it after being shown"
10/30/2024,14,male,asian,10/10/2020,48.00,4.00,,,2,,the fep,123,function,1,shape,spins and flips the fep
10/30/2024,14,male,asian,10/10/2020,48.00,4.00,,,3,,the blicket,312,function,1,shape,discovers function himself
10/30/2024,14,male,asian,10/10/2020,48.00,4.00,,,4,,the gorp,231,material,2,material,
10/30/2024,14,male,asian,10/10/2020,48.00,4.00,,,5,,the wap,123,material,2,material,
10/30/2024,14,male,asian,10/10/2020,48.00,4.00,,,6,,the blint ,312,material,1,shape,
10/30/2024,14,male,asian,10/10/2020,48.00,4.00,,,7,,the zimbo,231,material,2,material,
10/31/2024,15,male,asian,6/6/2021,40.00,3.33,,,1,,the blicket,132,function,2,shape,asks why does it make it move
10/31/2024,15,male,asian,6/6/2021,40.00,3.33,,,2,,the gorp,213,function,1,function,"asks what's inside, says it looks like the number 2"
10/31/2024,15,male,asian,6/6/2021,40.00,3.33,,,3,,the wap,321,function,1,function,asks what it catches
10/31/2024,15,male,asian,6/6/2021,40.00,3.33,,,4,,the blint ,231,material,1,shape,"picks it up and plays with it, says it can stand on its own"
10/31/2024,15,male,asian,6/6/2021,40.00,3.33,,,5,,the zimbo,123,material,2,material,asks what a zimbo does 
10/31/2024,15,male,asian,6/6/2021,40.00,3.33,,,6,,the dax,312,material,1,shape,"repeats ""a what"" after meesha mentiones that it's a dax, asks if he can hold it, says it opens but nothing is in there"
10/31/2024,15,male,asian,6/6/2021,40.00,3.33,,,7,,the fep,231,material,1,shape,
10/31/2024,16,female,other,2/24/2020,56.00,4.67,,,1,,the fep,231,material,2,material,
10/31/2024,16,female,other,2/24/2020,56.00,4.67,,,2,,the blicket,123,material,2,material,
10/31/2024,16,female,other,2/24/2020,56.00,4.67,,,3,,the gorp,312,material,2,material,
10/31/2024,16,female,other,2/24/2020,56.00,4.67,,,4,,the wap,213,function,1,shape,
10/31/2024,16,female,other,2/24/2020,56.00,4.67,,,5,,the blint ,123,function,1,shape,
10/31/2024,16,female,other,2/24/2020,56.00,4.67,,,6,,the zimbo,312,function,2,function,
10/31/2024,16,female,other,2/24/2020,56.00,4.67,,,7,,the dax,213,function,1,shape,"she was exploring the shape choice, but didn't seem like she is making a decision yet. when it happens again we need to re-introduce the object and ask them to choose again? "
11/1/2024,17,female,white,4/8/2021,42.00,3.50,,,1,,the dax,312,material,1,shape,
11/1/2024,17,female,white,4/8/2021,42.00,3.50,,,2,,the fep,123,material,2,material,
11/1/2024,17,female,white,4/8/2021,42.00,3.50,,,3,,the blicket,231,material,1,shape,
11/1/2024,17,female,white,4/8/2021,42.00,3.50,,,4,,the gorp,312,function,2,shape,"mumbles something along the lines of ""it's not here?"""
11/1/2024,17,female,white,4/8/2021,42.00,3.50,,,5,,the wap,123,function,1,function,"""the object needs something in it"""
11/1/2024,17,female,white,4/8/2021,42.00,3.50,,,6,,the blint ,231,function,2,shape,
11/1/2024,17,female,white,4/8/2021,42.00,3.50,,,7,,the zimbo,312,function,1,function,
11/1/2024,18,male,asian,12/7/2020,46.00,3.83,,,1,,the fep,312,function,3,distractor,spins the fep
11/1/2024,18,male,asian,12/7/2020,46.00,3.83,,,2,,the blicket,123,function,1,function,"asks ""what do you do with it"", asks what's inside"
11/1/2024,18,male,asian,12/7/2020,46.00,3.83,,,3,,the gorp,231,function,1,function,"asks ""what do you do with it"", ""does it go like this"", ""what letter is it"""
11/1/2024,18,male,asian,12/7/2020,46.00,3.83,,,4,,the wap,312,material,2,material,
11/1/2024,18,male,asian,12/7/2020,46.00,3.83,,,5,,the blint ,123,material,1,shape,"""I like blints"""
11/1/2024,18,male,asian,12/7/2020,46.00,3.83,,,6,,the zimbo,231,material,1,shape,"says it looks like chocolate, at the end asks what the distractor is"
11/1/2024,18,male,asian,12/7/2020,46.00,3.83,,,7,,the dax,312,material,1,shape,
11/13/2024,19,female,other,2/4/2021,45.00,3.75,,,1,,the blicket,312,material,1,shape,
11/13/2024,19,female,other,2/4/2021,45.00,3.75,,,2,,the gorp,123,material,1,shape,"""it looks like a -hard to hear-"""
11/13/2024,19,female,other,2/4/2021,45.00,3.75,,,3,,the wap,231,material,1,shape,
11/13/2024,19,female,other,2/4/2021,45.00,3.75,,,4,,the blint ,312,function,3,distractor,picks the distractor up
11/13/2024,19,female,other,2/4/2021,45.00,3.75,,,5,,the zimbo,123,function,1,function,"asks ""what does it do"" x2, doesn't play with it for long 2nd time, pushes it away, points to 2, but then research asks clarification and points to 1"
11/13/2024,19,female,other,2/4/2021,45.00,3.75,,,6,,the dax,231,function,2,shape,says it looks like a drum
11/13/2024,19,female,other,2/4/2021,45.00,3.75,,,7,,the fep,321,function,2,shape,pushes the object away the 2nd time
11/13/2024,20,male,white,11/9/2020,48.00,4.00,,,1,,the gorp,312,function,3,distractor,"says it looks like an S, asks why it does that when I state the function "
11/13/2024,20,male,white,11/9/2020,48.00,4.00,,,2,,the wap,123,function,1,function,"""can it do this"" and snaps it shut and open "
11/13/2024,20,male,white,11/9/2020,48.00,4.00,,,3,,the blint ,231,function,2,shape,"grabs the object he choose and says ""because look"" and holds it up to the standard "
11/13/2024,20,male,white,11/9/2020,48.00,4.00,,,4,,the zimbo,312,material,2,material,grabs the obect that fell and holds it up to the standard on the side 
11/13/2024,20,male,white,11/9/2020,48.00,4.00,,,5,,the dax,123,material,1,shape,
11/13/2024,20,male,white,11/9/2020,48.00,4.00,,,6,,the fep,231,material,1,shape,picks it up and puts it next to the standard
11/13/2024,20,male,white,11/9/2020,48.00,4.00,,,7,,the blicket,312,material,1,shape,picks it up and puts it next to the standard
11/13/2024,21,male,asian,3/1/2021,44.00,3.67,,,1,,the wap,312,material,2,material,asks if he can try the standard after picking 
11/13/2024,21,male,asian,3/1/2021,44.00,3.67,,,2,,the blint ,123,material,1,shape,"asks if he can see it, was told he could after, describes how they feel says it feels ""hard"""
11/13/2024,21,male,asian,3/1/2021,44.00,3.67,,,3,,the zimbo,231,material,2,material,"""there's a heart"""
11/13/2024,21,male,asian,3/1/2021,44.00,3.67,,,4,,the dax,312,function,2,shape,"""why is there nothing in there"", demonstrates how to use it - involving a bird, ""since it's red then that's red"" ?"
11/13/2024,21,male,asian,3/1/2021,44.00,3.67,,,5,,the fep,123,function,2,shape,"lifts it above his head and says he has muscles, asks if he can see water being poured again, ""what do you do with a fep?"" - ""nothing else?"" when researcher elaborates, says the one he picked (shape) is a tissue"
11/13/2024,21,male,asian,3/1/2021,44.00,3.67,,,6,,the blicket,231,function,2,shape,"""can you show me what a blicket does?"" after the function is shown ?"
11/13/2024,21,male,asian,3/1/2021,44.00,3.67,,,7,,the gorp,312,function,1,function,"""is that a snake?"", ""what's a gorp?"""
11/14/2024,22,female,white,6/29/2020,52.00,4.33,,,1,,the blint ,312,function,1,shape,
11/14/2024,22,female,white,6/29/2020,52.00,4.33,,,2,,the zimbo,123,function,2,function,"""whats a zimbo?""; researcher stated ""a zimbo makes a heart shape"""
11/14/2024,22,female,white,6/29/2020,52.00,4.33,,,3,,the dax,231,function,1,shape,"after seeing the fx, says ""i have a treasure box at home,"" seems to consider the grey (open) box, but chooses the red object (tries to open the red object after choosing it)"
11/14/2024,22,female,white,6/29/2020,52.00,4.33,,,4,,the fep,312,material,2,material,
11/14/2024,22,female,white,6/29/2020,52.00,4.33,,,5,,the blicket,123,material,2,material,"""the blicket looks funny(?)"" describes the blicket like it has a face ""that's the mouth""; ""haha so many blickets"""
11/14/2024,22,female,white,6/29/2020,52.00,4.33,,,6,,the gorp,231,material,1,shape,"""i never saw a gorp before"""
11/14/2024,22,female,white,6/29/2020,52.00,4.33,,,7,,the wap,312,material,2,material,
11/14/2024,23,female,other,5/15/2020,53.00,4.42,,,1,,the blint ,312,function,1,shape,african american and asian
11/14/2024,23,female,other,5/15/2020,53.00,4.42,,,2,,the zimbo,123,function,2,function,
11/14/2024,23,female,other,5/15/2020,53.00,4.42,,,3,,the dax,231,function,1,shape,
11/14/2024,23,female,other,5/15/2020,53.00,4.42,,,4,,the fep,312,material,2,material,
11/14/2024,23,female,other,5/15/2020,53.00,4.42,,,5,,the blicket,123,material,2,material,
11/14/2024,23,female,other,5/15/2020,53.00,4.42,,,6,,the gorp,231,material,2,material,
11/14/2024,23,female,other,5/15/2020,53.00,4.42,,,7,,the wap,312,material,2,material,
11/14/2024,24,female,other,7/22/2020,51.00,4.25,,,1,,the zimbo,312,material,2,material,"once they found it, they put it next to the standard side by side "
11/14/2024,24,female,other,7/22/2020,51.00,4.25,,,2,,the dax,123,material,1,shape,did the same as above
11/14/2024,24,female,other,7/22/2020,51.00,4.25,,,3,,the fep,231,material,1,shape,"asked ""where did you get those"" and meesha said ""i Made it"" -> put paper fep next to standard "
11/14/2024,24,female,other,7/22/2020,51.00,4.25,,,4,,the blicket,312,function,1,shape,"said this is a blicket early, picked up the blue one and put it next to standard ""they are very big we have to give them a little space"""
11/14/2024,24,female,other,7/22/2020,51.00,4.25,,,5,,the gorp,123,function,1,shape,didn't play with gorp second time 
11/14/2024,24,female,other,7/22/2020,51.00,4.25,,,6,,the wap,231,function,1,shape,"""I actually noticed that it can open and maybe it can catch something small"", demonstrates and says ""it looks like a little fish when I do this"""
11/14/2024,24,female,other,7/22/2020,51.00,4.25,,,7,,the blint ,312,function,1,shape,picked it up and put it next to standard
11/14/2024,25,male,white,8/7/2020,51.00,4.25,,,1,,the dax,321,function,2,function,
11/14/2024,25,male,white,8/7/2020,51.00,4.25,,,2,,the fep,123,function,1,shape,
11/14/2024,25,male,white,8/7/2020,51.00,4.25,,,3,,the blicket,231,function,1,shape,"after he picked up the shape match, he tried testing whether it performs the function or not"
11/14/2024,25,male,white,8/7/2020,51.00,4.25,,,4,,the gorp,123,material,1,shape,put the one he picked on top of standard
11/14/2024,25,male,white,8/7/2020,51.00,4.25,,,5,,the wap,231,material,1,shape,"""there's still more"" after he picked"
11/14/2024,25,male,white,8/7/2020,51.00,4.25,,,6,,the blint ,312,material,1,shape,points to the distractor and says that is another one ? hard to decipher 
11/14/2024,25,male,white,8/7/2020,51.00,4.25,,,7,,the zimbo,123,material,3,distractor,"points to material match and says this is not it, ""I don't see any"", goes back to material match again and says ""is this it? not it's not"", then says there's nothing there because he only finds hearts"
11/18/2024,26,male,other,1/28/2020,57.00,4.75,,,1,,the fep,123,material,2,material,"said he played in game room one but not with me, mentioned that he saw the fep in game room 1 already "
11/18/2024,26,male,other,1/28/2020,57.00,4.75,,,2,,the blicket,231,material,2,material,"asked ""a blicket is like something that you can like move?"", after picking said all are blickets except for the distractor "
11/18/2024,26,male,other,1/28/2020,57.00,4.75,,,3,,the gorp,312,material,1,shape,says it looks like a fake snake
11/18/2024,26,male,other,1/28/2020,57.00,4.75,,,4,,the wap,123,function,2,function,"says it looks like scissor that catches flies, "
11/18/2024,26,male,other,1/28/2020,57.00,4.75,,,5,,the blint ,231,function,1,shape,asks what it is in advance when given to play with it the first time 
11/18/2024,26,male,other,1/28/2020,57.00,4.75,,,6,,the zimbo,312,function,2,function,"""how do I even play with it it's so hard"", when told it makes a heart asked ""no matter what shape it has?"", asked multiple times if ALL the zimbos make hearts then asked why they do this"
11/18/2024,26,male,other,1/28/2020,57.00,4.75,,,7,,the dax,123,function,2,function,"when told it holds toys said ""for what?"", when asked to pick said ""dax can be in any shape?"" then when asked again said ""that is the same shape?"""
11/21/2024,27,gender,,,"1,498.00",124.83,,,1,,the blicket,123,function,1,shape,"says ""i like to play this game"" then asks what the yellow balls are on it, says something about how it's going in and jumping out? first points to shape match then distractor sayign it has the same ""eyes"""
11/21/2024,27,,,,"1,498.00",124.83,,,2,,the gorp,231,function,2,function,"picks it up and drops it, didn't get to use the ducky to grab the toy, picks up distractor after and says they found this gorp and says its like my weight "
11/21/2024,27,,,,"1,498.00",124.83,,,3,,the wap,312,function,1,shape,"asks what it grabs, asks if they can play with the sand, first picks up distractor the plays with it, then picks up the shape match "
11/21/2024,27,,,,"1,498.00",124.83,,,4,,the blint ,123,material,1,shape,"asks how blint was made, first picks up shape match and plays with it, seeming to have a hard time deciding"
11/21/2024,27,,,,"1,498.00",124.83,,,5,,the zimbo,231,material,2,material,"says ""I love a zimbo"" and notices there's playdough inside"
11/21/2024,27,,,,"1,498.00",124.83,,,6,,the dax,312,material,1,shape,mentions the zimbo again during this trial 
11/21/2024,27,,,,"1,498.00",124.83,,,7,,the fep,123,material,1,shape,"mentions that the other ones plastic? picks up shape match and asks what it is, says the distractor is cool, doesn't seem to make a clear decision at the end "
11/21/2024,28,male,,5/28/2021,41.00,3.42,,,1,,the gorp,123,material,1,shape,puts chosen one next to standard
11/21/2024,28,male,,5/28/2021,41.00,3.42,,,2,,the wap,231,material,1,shape,
11/21/2024,28,male,,5/28/2021,41.00,3.42,,,3,,the blint ,312,material,1,shape,put chosen one next to standard 
11/21/2024,28,male,,5/28/2021,41.00,3.42,,,4,,the zimbo,123,function,2,function,"bangs the zimbo on the table, doesn't play with it second round, "
11/21/2024,28,male,,5/28/2021,41.00,3.42,,,5,,the dax,231,function,1,shape,"small toy taken out of dax after display of function, seems to try to open the choosen shape match "
11/21/2024,28,male,,5/28/2021,41.00,3.42,,,6,,the fep,312,function,1,shape,put chosen next to standrd
11/21/2024,28,male,,5/28/2021,41.00,3.42,,,7,,the blicket,123,function,2,function,same as above
11/21/2024,29,male,other,1/2/2021,46.00,3.83,,,1,,the wap,123,function,1,shape,"attempts to say ""it looks like a..."" but doesn't finish sentence, imitates wap eating the table, when picking the shape match says ""this don't open"""
11/21/2024,29,male,other,1/2/2021,46.00,3.83,,,2,,the blint ,231,function,1,shape,"has it standing up on one side and says ""look!"", when picking says it's super easy"
11/21/2024,29,male,other,1/2/2021,46.00,3.83,,,3,,the zimbo,312,function,2,function,"holds it up to eye and examines it, ""its super easy"""
11/21/2024,29,male,other,1/2/2021,46.00,3.83,,,4,,the dax,123,material,1,shape,
11/21/2024,29,male,other,1/2/2021,46.00,3.83,,,5,,the fep,231,material,1,shape,
11/21/2024,29,male,other,1/2/2021,46.00,3.83,,,6,,the blicket,312,material,1,shape,"""this looks like a robot"""
11/21/2024,29,male,other,1/2/2021,46.00,3.83,,,7,,the gorp,123,material,2,material,
11/22/2024,30,male,asian,5/8/2020,54.00,4.50,,,1,,the blint ,123,material,1,shape,
11/22/2024,30,male,asian,5/8/2020,54.00,4.50,,,2,,the zimbo,231,material,2,material,
11/22/2024,30,male,asian,5/8/2020,54.00,4.50,,,3,,the dax,312,material,1,shape,
11/22/2024,30,male,asian,5/8/2020,54.00,4.50,,,4,,the fep,123,function,1,shape,
11/22/2024,30,male,asian,5/8/2020,54.00,4.50,,,5,,the blicket,231,function,1,shape,"moves the handles around, peeks at whats inside "
11/22/2024,30,male,asian,5/8/2020,54.00,4.50,,,6,,the gorp,312,function,1,shape,
11/22/2024,30,male,asian,5/8/2020,54.00,4.50,,,7,,the wap,123,function,2,function,
12/4/2024,31,male,asian,4/19/2021,43.00,3.58,,,1,,the dax,123,material,2,material,"""does it have something in it?'"
12/4/2024,31,male,asian,4/19/2021,43.00,3.58,,,2,,the fep,231,material,2,material,"asks if you can put something in it? audio is a bit in and out, first picks distractor then says the material match is orange too while putting them side by side "
12/4/2024,31,male,asian,4/19/2021,43.00,3.58,,,3,,the blicket,312,material,3,distractor,grabs handles of blicket and says something inaudible 
12/4/2024,31,male,asian,4/19/2021,43.00,3.58,,,4,,the gorp,123,function,2,function,"""its a number"" and asks ""what did you put something in it, can you open it"", says function match looks like a shovel "
12/4/2024,31,male,asian,4/19/2021,43.00,3.58,,,5,,the wap,231,function,2,function,"says its a scissors and asks why it opens, says function match looks like a shovel again"
12/4/2024,31,male,asian,4/19/2021,43.00,3.58,,,6,,the blint ,312,function,1,shape,asks if it has chocolate in the wrapper
