date,kidid,trial,standard,standard_number,standardlabel,order,condition,1st_response,dimension-1,2nd_response,dimension-2,3rd_response,dimension-3,exclude?,confused? - coder1,confused?- coder2,more than one,more than one-coder2,,
10/20/2025,15,7,brown clay heart,7,the dax,312,function,function,2,,,,,,no,,no,,,
10/20/2025,16,1,white circular box,1,the dax,312,function,shape,1,,,function,2,,no,,yes,,,
10/20/2025,16,2,the clay plate,2,the fep,123,function,distractor,3,,,function,2,,no,,yes,,,
10/20/2025,16,3,orange box,3,the blicket,231,function,function,2,,,shape,1,,no,,yes,,,
10/20/2025,16,4,"green ""s""",4,the gorp,312,function,function,2,,,shape,1,,no,,yes,,,
10/20/2025,16,5,present wrapped dog toy,5,the wap,123,function,shape,1,,,distractor,3,,no,,yes,,,
10/20/2025,16,6,scissors w/bubbles,6,the blint ,231,function,function,2,,,shape,1,,no,,yes,,,
10/20/2025,16,7,brown clay heart,7,the zimbo,312,function,function,2,,,,,,no,,no,,,
10/22/2025,17,1,white circular box,1,the zimbo,312,function,shape,1,,,function,2,,no,,yes,,,
10/22/2025,17,2,the clay plate,2,the dax,123,function,function,2,,,,,,no,,no,,,
10/22/2025,17,3,orange box,3,the fep,231,function,shape,1,function,2,distractor,3,,no,,yes,,,
10/22/2025,17,4,"green ""s""",4,the blicket,312,function,function,2,,,,,,no,,no,,,
10/22/2025,17,5,present wrapped dog toy,5,the gorp,123,function,shape,1,,,,,,no,,no,,,
10/22/2025,17,6,scissors w/bubbles,6,the wap,231,function,function,2,,,shape,1,,no,,yes,,,
10/22/2025,17,7,brown clay heart,7,the blint ,312,function,function,2,,,,,,no,,,,,
10/22/2025,18,1,white circular box,1,the blint ,123,function,shape,1,,,,,,no,,,,,
10/22/2025,18,2,the clay plate,2,the zimbo,231,function,shape,1,,,,,,no,,,,,
10/22/2025,18,3,orange box,3,the dax,312,function,shape,1,,,,,,no,,,,,
10/22/2025,18,4,"green ""s""",4,the fep,123,function,shape,1,,,,,,no,,,,,
10/22/2025,18,5,present wrapped dog toy,5,the blicket,231,function,shape,1,,,,,,no,,,,,
10/22/2025,18,6,scissors w/bubbles,6,the gorp,312,function,function,2,,,,,,no,,,,,
10/22/2025,18,7,brown clay heart,7,the wap,123,function,shape,1,,,,,,no,,,,,
10/24/2025,19,1,white circular box,1,the wap,123,function,shape,1,,,,,,no,,,,,
10/24/2025,19,2,the clay plate,2,the blint ,231,function,shape,1,,,,,,no,,,,,
10/24/2025,19,3,orange box,3,the zimbo,312,function,shape,1,distractor,3,function,2,,no,,yes,,,
10/24/2025,19,4,"green ""s""",4,the dax,123,function,shape,1,,,,,,no,,,,,
10/24/2025,19,5,present wrapped dog toy,5,the fep,231,function,shape,1,,,,,,no,,,,,
10/24/2025,19,6,scissors w/bubbles,6,the blicket,312,function,function,2,shape,1,,,,no,,,,,
10/24/2025,19,7,brown clay heart,7,the gorp,123,function,shape,1,,,,,,no,,,,,
10/24/2025,20,1,white circular box,1,the gorp,123,function,shape,1,,,,,,no,,,,,
10/24/2025,20,2,the clay plate,2,the wap,231,function,distractor,3,,,,,,no,,,,,
10/24/2025,20,3,orange box,3,the blint ,312,function,shape,1,distractor,3,function,2,,no,,yes,,,
10/24/2025,20,4,"green ""s""",4,the zimbo,123,function,shape,1,,,,,,no,,,,,
10/24/2025,20,5,present wrapped dog toy,5,the dax,231,function,shape,1,,,,,,no,,,,,
10/24/2025,20,6,scissors w/bubbles,6,the fep,312,function,shape,1,function,2,distractor,3,,no,,yes,,,
10/24/2025,20,7,brown clay heart,7,the blicket,123,function,function,2,,,,,,no,,,,,
10/24/2025,21,1,white circular box,1,the blicket,123,function,shape,1,,,,,,no,,,,,
10/24/2025,21,2,the clay plate,2,the gorp,231,function,function,2,,,,,,no,,,,,
10/24/2025,21,3,orange box,3,the wap,312,function,shape,1,,,,,,no,,,,,
10/24/2025,21,4,"green ""s""",4,the blint ,123,function,shape,1,,,,,,no,,,,,
10/24/2025,21,5,present wrapped dog toy,5,the zimbo,231,function,shape,1,,,,,,no,,,,,
10/24/2025,21,6,scissors w/bubbles,6,the dax,312,function,function,2,,,,,,no,,,,,
10/24/2025,21,7,brown clay heart,7,the fep,123,function,function,2,,,,,,no,,,,,
10/24/2025,22,1,white circular box,1,the fep,123,function,shape,1,,,,,,no,,,,,
10/24/2025,22,2,the clay plate,2,the blicket,231,function,shape,1,,,,,,no,,,,,
10/24/2025,22,3,orange box,3,the gorp,312,function,function,2,,,,,,no,,,,,
10/24/2025,22,4,"green ""s""",4,the wap,123,function,shape,1,,,,,,no,,,,,
10/24/2025,22,5,present wrapped dog toy,5,the blint ,231,function,shape,1,,,,,,no,,,,,
10/24/2025,22,6,scissors w/bubbles,6,the zimbo,312,function,shape,1,function,2,,,,no,,yes,,,
10/24/2025,22,7,brown clay heart,7,the dax,123,function,function,2,,,,,,no,,,,,
10/31/2025,23,1,white circular box,1,the dax,123,function,shape,1,function,2,,,,no,,yes,,,
10/31/2025,23,2,the clay plate,2,the fep,231,function,shape,1,function,2,,,,no,,yes,,,
10/31/2025,23,3,orange box,3,the blicket,321,function,distractor,3,shape,1,,,,no,,yes,,,
10/31/2025,23,4,"green ""s""",4,the gorp,123,function,shape,1,,,,,,no,,,,,
10/31/2025,23,5,present wrapped dog toy,5,the wap,321,function,shape,1,,,,,,no,,,,,
10/31/2025,23,6,scissors w/bubbles,6,the blint ,312,function,function,2,shape,1,,,,no,,yes,,,
10/31/2025,23,7,brown clay heart,7,the zimbo,123,function,function,2,,,,,,no,,,,,
11/9/2025,24,1,white circular box,1,the zimbo,123,function,shape,1,,,,,,no,,,,,
11/9/2025,24,2,the clay plate,2,the dax,231,function,,,,,,,,no,,,,,
11/9/2025,24,3,orange box,3,the fep,312,function,shape,1,distractor,3,function,2,,no,,yes,,,
11/9/2025,24,4,"green ""s""",4,the blicket,123,function,shape,1,,,,,,no,,,,,
11/9/2025,24,5,present wrapped dog toy,5,the gorp,321,function,shape,1,,,,,,no,,,,,
11/9/2025,24,6,scissors w/bubbles,6,the wap,123,function,function,2,shape,1,,,,no,,yes,,,
11/9/2025,24,7,brown clay heart,7,the blicket,213,function,,,,,,,,no,,,,,
11/9/2025,25,1,white circular box,1,the fep,123,function,function,2,,,,,,no,,,,,
11/9/2025,25,2,the clay plate,2,the blicket,312,function,function,2,shape,1,,,,no,,yes,,,
11/9/2025,25,3,orange box,3,the gorp,321,function,shape,1,distractor,3,function,2,,no,,yes,,,
11/9/2025,25,4,"green ""s""",4,the wap,123,function,shape,1,function,2,,,,no,,yes,,,
11/9/2025,25,5,present wrapped dog toy,5,the blint ,213,function,function,2,shape,1,,,,no,,yes,,,
11/9/2025,25,6,scissors w/bubbles,6,the zimbo,231,function,function,2,shape,1,,,,no,,yes,,,
11/9/2025,25,7,brown clay heart,7,the dax,123,function,function,2,,,,,,no,,,,,
11/17/2025,26,1,white circular box,1,the blicket,123,function,shape,1,function,2,,,,no,,,,,
11/17/2025,26,2,the clay plate,2,the gorp,312,function,shape,1,distractor,3,,,,no,,,,,
11/17/2025,26,3,orange box,3,the wap,231,function,shape,1,function,2,,,,no,,,,,
11/17/2025,26,4,"green ""s""",4,the blint ,123,function,shape,1,function,2,,,,no,,,,,
11/17/2025,26,5,present wrapped dog toy,5,the zimbo,312,function,shape,1,distractor,3,,,,no,,,,,
11/17/2025,26,6,scissors w/bubbles,6,the dax,231,function,function,2,distractor,3,,,,no,,,,,
11/17/2025,26,7,brown clay heart,7,the fep,123,function,shape,1,function,2,,,,no,,,,,
11/18/2025,27,1,white circular box,1,the fep,312,function,shape,1,function,2,,,,no,,yes,,,
11/18/2025,27,2,the clay plate,2,the blicket,123,function,function,2,,,,,,no,,,,,
11/18/2025,27,3,orange box,3,the gorp,231,function,shape,1,function,2,distractor,3,,no,,yes,,,
11/18/2025,27,4,"green ""s""",4,the wap,312,function,shape,1,,,,,,no,,,,,
11/18/2025,27,5,present wrapped dog toy,5,the blint ,123,function,shape,1,,,,,,no,,,,,
11/18/2025,27,6,scissors w/bubbles,6,the zimbo,231,function,shape,1,function,2,,,,no,,yes,,,
11/18/2025,27,7,brown clay heart,7,the dax,312,function,function,2,,,,,,no,,,,,
11/18/2025,28,1,white circular box,1,the gorp,312,function,shape,1,distractor,3,,,yes,no,,yes,,,
11/18/2025,28,2,the clay plate,2,the wap,123,function,shape,1,function,2,,,yes,no,,yes,,,
11/18/2025,28,3,orange box,3,the blint ,231,function,shape,1,function,2,,,yes,no,,yes,,,
11/18/2025,28,4,"green ""s""",4,the zimbo,312,function,distractor,3,,,,,yes,no,,,,,
11/18/2025,28,5,present wrapped dog toy,5,the dax,123,function,distractor,3,,,,,yes,no,,,,,
11/18/2025,28,6,scissors w/bubbles,6,the fep,231,function,shape,1,,,,,yes,no,,,,,
11/18/2025,28,7,brown clay heart,7,the blicket,312,function,function,2,distractor,3,,,yes,no,,yes,,,
11/18/2025,29,1,white circular box,1,the wap,312,function,shape,1,function,2,,,,no,,,,,
11/18/2025,29,2,the clay plate,2,the blint ,123,function,function,2,,,,,,no,,,,,
11/18/2025,29,3,orange box,3,the zimbo,231,function,shape,1,,,,,,no,,,,,
11/18/2025,29,4,"green ""s""",4,the dax,312,function,function,2,,,,,,no,,,,,
11/18/2025,29,5,present wrapped dog toy,5,the fep,123,function,shape,1,,,,,,no,,,,,
11/18/2025,29,6,scissors w/bubbles,6,the blicket,231,function,shape,1,,,,,,no,,,,,
11/18/2025,29,7,brown clay heart,7,the gorp,312,function,distractor,3,function,2,,,,no,,yes,,,
11/18/2025,30,1,white circular box,1,the blicket,312,function,shape,1,function,2,,,yes,confused? - coder1,,yes,,,
11/18/2025,30,2,the clay plate,2,the gorp,123,function,shape,1,function,2,distractor,3,yes,no,,yes,,,
11/18/2025,30,3,orange box,3,the wap,231,function,shape,1,function,2,distractor,3,yes,no,,yes,,,
11/18/2025,30,4,"green ""s""",4,the blint ,312,function,shape,1,function,2,,,yes,no,,yes,,,
11/18/2025,30,5,present wrapped dog toy,5,the zimbo,132,function,function,2,distractor,3,shape,1,yes,no,,yes,,,
11/18/2025,30,6,scissors w/bubbles,6,the dax,231,function,function,2,shape,1,,,yes,confused? - coder1,,yes,,,
11/18/2025,30,7,brown clay heart,7,the fep,213,function,function,2,shape,1,,,yes,confused? - coder1,,yes,,,
12/3/2025,31,1,white circular box,1,the dax,312,function,shape,1,,,,,,no,,,,,
12/3/2025,31,2,the clay plate,2,the gorp,123,function,shape,1,,,,,,no,,,,,
12/3/2025,31,3,orange box,3,the fep,231,function,shape,1,,,,,,no,,,,,
12/3/2025,31,4,"green ""s""",4,the blicket,312,function,shape,1,,,,,,no,,,,,
12/3/2025,31,5,present wrapped dog toy,5,the blint ,123,function,shape,1,,,,,,no,,,,,
12/3/2025,31,6,scissors w/bubbles,6,the wap,231,function,function,2,,,,,,no,,,,,
12/3/2025,31,7,brown clay heart,7,the zimbo,312,function,function,2,,,,,,no,,,,,
12/3/2025,32,1,white circular box,1,the zimbo,312,function,function,2,,,,,,no,,,,,
12/3/2025,32,2,the clay plate,2,the dax,123,function,function,2,,,,,,no,,,,,
12/3/2025,32,3,orange box,3,the gorp,231,function,function,2,,,,,,no,,,,,
12/3/2025,32,4,"green ""s""",4,the fep,312,function,function,2,,,,,,no,,,,,
12/3/2025,32,5,present wrapped dog toy,5,the blicket,123,function,function,2,shape,1,,,,no,,yes,,,
12/3/2025,32,6,scissors w/bubbles,6,the blint ,231,function,function,2,,,,,,no,,,,,
12/3/2025,32,7,brown clay heart,7,the wap,312,function,function,2,,,,,,no,,,,,
11/17/2025,33,1,white circular box,1,the fep,123,function,function,2,,,,,yes,no,,,,,
11/17/2025,33,2,the clay plate,2,the blicket,231,function,shape,1,,,,,yes,no,,,,,
11/17/2025,33,3,orange box,3,the gorp,312,function,shape,1,,,,,yes,no,,,,,
11/17/2025,33,4,"green ""s""",4,the wap,123,function,function,2,,,,,yes,no,,,,,
11/17/2025,33,5,present wrapped dog toy,5,the blint ,231,function,shape,1,,,,,yes,no,,,,,
11/17/2025,33,6,scissors w/bubbles,6,the zimbo,312,function,shape,1,,,,,yes,no,,,,,
11/17/2025,33,7,brown clay heart,7,the dax,123,function,function,2,,,,,yes,no,,,,,
12/1/2025,34,1,white circular box,1,,,,,,,,,,,,,,,,
12/1/2025,34,2,the clay plate,2,,,,,,,,,,,,,,,,
12/1/2025,34,3,orange box,3,,,,,,,,,,,,,,,,
12/1/2025,34,4,"green ""s""",4,,,,,,,,,,,,,,,,
12/1/2025,34,5,present wrapped dog toy,5,,,,,,,,,,,,,,,,
12/1/2025,34,6,scissors w/bubbles,6,,,,,,,,,,,,,,,,
12/1/2025,34,7,brown clay heart,7,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
