date,experimenter,coder,kidid,gender,race,birthday,age (months),age (years),bilingual,2ndlang,trial,standard,standard_number,standardlabel,order,condition,response,dimension,notes,exclude?,confused?,more than one,material comment
4/10/2025,,,56,female,AA,5/9/2021,47.00,3.92,,,4,scissors w/bubbles,6,the gorp,123,function,function,2,"when she opens the object asks ""what's this for?"", says ""it looks like scissors"", asks ""is this a gorp"" while choosing",,no,no,
4/10/2025,,,56,female,AA,5/9/2021,47.00,3.92,,,5,brown clay heart,7,the wap,231,function,function,2,"unprompted says ""it looks like a heart shape"", then asks ""what do you do with it""",,no,no,
4/10/2025,,,56,female,AA,5/9/2021,47.00,3.92,,,6,white circular box,1,the blint ,312,function,distractor,3,"opens box and asks ""so whats inside of it"", ""it looks like open shut"" while opening and closing it",,no,no,
4/10/2025,,,56,female,AA,5/9/2021,47.00,3.92,,,7,the clay plate,2,the zimbo,123,function,distractor,3,"""it looks like a- (i think she tries to say square), what do you do with it?"", after shown that it holds water, says ""so what do you do with it now?"", again asks while choosing",,no,no,
4/8/2025,Meesha ,Sadio,57,male,,2/21/2022,37.00,3.08,,,1,white circular box,1,the dax,123,material,material,2,,,no,no,
4/8/2025,,,57,male,,2/22/2022,37.00,3.08,,,2,the clay plate,2,the fep,231,material,shape,1,,,no,no,
4/8/2025,,,57,male,,2/23/2022,37.00,3.08,,,3,orange box,3,the blicket,312,material,shape,1,,,no,no,
4/8/2025,,,57,male,,2/24/2022,37.00,3.08,,,4,"green ""s""",4,the gorp,123,function,distractor,3,seems to be grabbing and selecting at random,,no,no,
4/8/2025,,,57,male,,2/25/2022,37.00,3.08,,,5,present wrapped dog toy,5,the wap,231,function,shape,1,"experimenter switches order of wap and blint, seems to like the sound of the other dog toy",,no,no,
4/8/2025,,,57,male,,2/26/2022,37.00,3.08,,,6,scissors w/bubbles,6,the blint ,312,function,function,2,,,no,no,
4/8/2025,,,57,male,,2/27/2022,37.00,3.08,,,7,brown clay heart,7,the zimbo,123,function,distractor,3,,,no,no,
4/15/2025,Meesha ,N/A,58,female,,2/3/2022,38.00,3.17,,,1,,,,,,,,,yes,no,no,
4/15/2025,child didn't finish this game,,58,female,,2/4/2022,38.00,3.17,,,2,,,,,,,,,yes,no,no,
4/15/2025,,,58,female,,2/5/2022,38.00,3.17,,,3,,,,,,,,,yes,no,no,
4/15/2025,,,58,female,,2/6/2022,38.00,3.17,,,4,,,,,,,,,yes,no,no,
4/15/2025,,,58,female,,2/7/2022,38.00,3.17,,,5,,,,,,,,,yes,no,no,
4/15/2025,,,58,female,,2/8/2022,38.00,3.17,,,6,,,,,,,,,yes,no,no,
4/15/2025,,,58,female,,2/9/2022,38.00,3.17,,,7,,,,,,,,,yes,no,no,
4/8/2025,Meesha,N/A,59,,,5/20/2022,34.00,2.83,,,,,,,,,,,,yes,no,no,
4/15/2025,child did not finish the experiment,,59,,,5/20/2022,34.00,2.83,,,,,,,,,,,,yes,no,no,
4/15/2025,check the date ,,59,,,5/20/2022,34.00,2.83,,,,,,,,,,,,yes,no,no,
4/15/2025,,,59,,,5/20/2022,34.00,2.83,,,,,,,,,,,,yes,no,no,
4/15/2025,,,59,,,5/20/2022,34.00,2.83,,,,,,,,,,,,yes,no,no,
4/15/2025,,,59,,,5/20/2022,34.00,2.83,,,,,,,,,,,,yes,no,no,
4/15/2025,,,59,,,5/20/2022,34.00,2.83,,,,,,,,,,,,yes,no,no,
4/15/2025,Meesha,Sadio,60,female,,8/27/2022,31.00,2.58,,,1,present wrapped dog toy,5,the dax,123,material,shape,1,,,no,no,
4/15/2025,,,60,female,,8/27/2022,31.00,2.58,,,2,scissors w/bubbles,6,the fep,231,material,shape,1,,,no,no,
4/15/2025,,,60,female,,8/27/2022,31.00,2.58,,,3,brown clay heart,7,the blicket,312,material,material,2,experimenter says you're so helpful,,no,no,
4/15/2025,,,60,female,,8/27/2022,31.00,2.58,,,4,white circular box,1,the gorp,123,function,function,2,,,no,no,
4/15/2025,,,60,female,,8/27/2022,31.00,2.58,,,5,the clay plate,2,the wap,231,function,function,2,experimenter switches up the order of wap and blint,,no,no,
4/15/2025,,,60,female,,8/27/2022,31.00,2.58,,,6,orange box,3,the blint ,312,function,shape,1,,,no,no,
4/15/2025,,,60,female,,8/27/2022,31.00,2.58,,,7,"green ""s""",4,the zimbo,123,function,shape,1,,,no,no,
4/1/2025,Meesha ,Sadio,61,female,,3/8/2022,36.00,3.00,,,1,brown clay heart,7,the dax,123,function,material,2,"child says it looks like a heart, after selecting says ""this dax is green and it also has a heart""",,no,no,
4/1/2025,,,61,female,,3/8/2022,36.00,3.00,,,2,white circular box,1,the fep,231,function,shape,1,"child asks why the dax opens, after selecting points out that shape object doesn't open",,no,no,
4/1/2025,,,61,female,,3/8/2022,36.00,3.00,,,3,the clay plate,2,the blicket,312,function,distractor,3,child mentions that standard object is heavy,,no,no,
4/1/2025,,,61,female,,3/8/2022,36.00,3.00,,,4,orange box,3,the gorp,123,material,shape,1,asks what it has on top and why it doesnt' come out (side handles),,no,no,
4/1/2025,,,61,female,,3/8/2022,36.00,3.00,,,5,"green ""s""",4,the wap,231,material,material,2,"asks whats in the wap, adn why it's green",,no,no,
4/1/2025,,,61,female,,3/8/2022,36.00,3.00,,,6,present wrapped dog toy,5,the blint ,312,material,shape,1,experimenter switches up the order of wap and blint,,no,no,
4/1/2025,,,61,female,,3/8/2022,36.00,3.00,,,7,scissors w/bubbles,6,the zimbo,123,material,material,2,asks why it has holes,,no,no,
4/25/2025,Meesha,N/A,62,,,,"1,503.00",125.25,,,,,,,,,,,,yes,no,no,
4/28/2025,child was interrupted,,62,,,,"1,503.00",125.25,,,,,,,,,,,,yes,no,no,
,check the date,,62,,,,0.00,0.00,,,,,,,,,,,,yes,no,no,
,,,62,,,,0.00,0.00,,,,,,,,,,,,yes,no,no,
,,,62,,,,0.00,0.00,,,,,,,,,,,,yes,no,no,
,,,62,,,,0.00,0.00,,,,,,,,,,,,yes,no,no,
,,,62,,,,0.00,0.00,,,,,,,,,,,,yes,no,no,
4/28/2025,Meesha,Meesha,63,male,,12/27/2021,40.00,3.33,,,,white circular box,1,the dax,123,material,shape,1,,,no,no,
4/28/2025,,,63,male,,12/27/2021,40.00,3.33,,,,the clay plate,2,the fep,231,material,shape,1,,,no,no,
4/28/2025,,,63,male,,12/27/2021,40.00,3.33,,,,orange box,3,the blicket,312,material,shape,1,,,no,no,
4/28/2025,,,63,male,,12/27/2021,40.00,3.33,,,,"green ""s""",4,the gorp,123,function,shape,1,,,no,no,
4/28/2025,,,63,male,,12/27/2021,40.00,3.33,,,,present wrapped dog toy,5,the wap,231,function,shape,1,,,no,no,
4/28/2025,,,63,male,,12/27/2021,40.00,3.33,,,,scissors w/bubbles,6,the blint ,312,function,shape,1,,,no,no,
4/28/2025,,,63,male,,12/27/2021,40.00,3.33,,,,brown clay heart,7,the zimbo,123,function,shape,1,,,no,no,
5/5/2025,Meesha,Meesha ,64,female,,6/24/2022,34.00,2.83,,,,scissors w/bubbles,6,the dax,123,function,function,2,"child asks for a spoon after warm up; child discovers fx early -- says ""it's like snowcatch""",,no,no,
5/5/2025,,,64,female,,6/24/2022,34.00,2.83,,,,brown clay heart,7,the fep,231,function,distractor,3,"""look a heart for mommy!""; picks the distractor immediately as it is squishy. when prompted again, picks the fx match",,no,no,
5/5/2025,,,64,female,,6/24/2022,34.00,2.83,,,,white circular box,1,the blicket,312,function,shape,1,"describes the distractor as ""a dinosaur!"" continues investigating the other objects for fx match",,no,no,
5/5/2025,,,64,female,,6/24/2022,34.00,2.83,,,,the clay plate,2,the gorp,123,material,material,2,tries sticking her finger into the material match 'vase',,no,no,
5/5/2025,,,64,female,,6/24/2022,34.00,2.83,,,,orange box,3,the wap,231,material,distractor,3,child identifies all test objects as waps first,,no,yes,
5/5/2025,,,64,female,,6/24/2022,34.00,2.83,,,,"green ""s""",4,the blint ,312,material,distractor,3,"""it's a snake!!""",,no,no,
5/5/2025,,,64,female,,6/24/2022,34.00,2.83,,,,present wrapped dog toy,5,the zimbo,123,material,shape,1,,,no,no,
5/5/2025,Meesha ,Meesha ,65,female,,6/28/2022,34.00,2.83,,,,present wrapped dog toy,5,the dax,123,material,shape,1,,,no,no,
5/5/2025,,,65,female,,6/28/2022,34.00,2.83,,,,scissors w/bubbles,6,the fep,231,material,material,2,,,no,no,
5/5/2025,,,65,female,,6/28/2022,34.00,2.83,,,,brown clay heart,7,the blicket,312,material,material,2,,,no,no,
5/5/2025,,,65,female,,6/28/2022,34.00,2.83,,,,white circular box,1,the gorp,123,function,shape,1,"""whats this?""",,no,no,
5/5/2025,,,65,female,,6/28/2022,34.00,2.83,,,,the clay plate,2,the wap,231,function,shape,1,,,no,no,
5/5/2025,,,65,female,,6/28/2022,34.00,2.83,,,,orange box,3,the blint ,312,function,shape,1,,,no,no,
5/5/2025,,,65,female,,6/28/2022,34.00,2.83,,,,"green ""s""",4,the zimbo,123,function,distractor,3,"""s! s! s for [name]""",,no,no,
4/23/2025,Sadio,Meesha,66,male,,1/17/2021,51.00,4.25,,,,scissors w/bubbles,6,the dax,123,function,function,2,"""can i keep playing with this one?""",,no,no,
4/23/2025,,,66,male,,1/17/2021,51.00,4.25,,,,brown clay heart,7,the fep,231,function,function,2,"""what is it?"" asked about if it has the same fx with playdoh",,no,no,
4/23/2025,,,66,male,,1/17/2021,51.00,4.25,,,,white circular box,1,the blicket,312,function,function,2,"picked by shape first but asked if the object could open, then when prompted again they picked by fx",,no,yes,
4/23/2025,,,66,male,,1/17/2021,51.00,4.25,,,,the clay plate,2,the gorp,123,material,shape,1,,,no,no,
4/23/2025,,,66,male,,1/17/2021,51.00,4.25,,,,orange box,3,the wap,231,material,shape,1,"child was distracted by red test object asking ""whats this""",,no,no,
4/23/2025,,,66,male,,1/17/2021,51.00,4.25,,,,"green ""s""",4,the blint ,312,material,shape,1,,,no,no,
4/23/2025,,,66,male,,1/17/2021,51.00,4.25,,,,present wrapped dog toy,5,the zimbo,123,material,shape,1,"child says all of the objects are zimbos too, but picks by shape again at the end",,no,yes,
4/15/2025,Nive,Samah,67,male,,3/17/2021,48.00,4.00,,,,"green ""s""",4,the dax,123,function,shape,1,,,no,no,
4/15/2025,,,67,male,,3/17/2021,48.00,4.00,,,,,,the fep,231,function,distractor,3,,,no,no,
4/15/2025,,,67,male,,3/17/2021,48.00,4.00,,,,,,the blicket,312,function,shape,1,,,no,no,
4/15/2025,,,67,male,,3/17/2021,48.00,4.00,,,,,,the gorp,123,material,shape,1,,,no,no,
4/15/2025,,,67,male,,3/17/2021,48.00,4.00,,,,,,the wap,231,material,shape,1,,,no,no,
4/15/2025,,,67,male,,3/17/2021,48.00,4.00,,,,,,the blint ,312,material,shape,1,,,no,no,
4/15/2025,,,67,male,,3/17/2021,48.00,4.00,,,,,,the zimbo,123,material,shape,1,,,no,no,
4/17/2025,Nive,Samah,68,male,,6/9/2020,58.00,4.83,,,,brown clay heart,7,the dax,123,material,shape,1,,,no,no,
4/17/2025,,,68,male,,6/9/2020,58.00,4.83,,,,white circular box,1,the fep,231,material,material,2,,,no,no,
4/17/2025,,,68,male,,6/9/2020,58.00,4.83,,,,the clay plate,2,the blicket,312,material,distractor,3,,,no,no,
4/17/2025,,,68,male,,6/9/2020,58.00,4.83,,,,orange box,3,the gorp,123,function,shape,1,,,no,no,
4/17/2025,,,68,male,,6/9/2020,58.00,4.83,,,,"green ""s""",4,the wap,231,function,shape,1,,,no,no,
4/17/2025,,,68,male,,6/9/2020,58.00,4.83,,,,present wrapped dog toy,5,the blint ,312,function,shape,1,,,no,no,
4/17/2025,,,68,male,,6/9/2020,58.00,4.83,,,,scissors w/bubbles,6,the zimbo,123,function,shape,1,,,no,no,
4/29/2025,Nive,Samah,69,male,,12/8/2019,64.00,5.33,,,,"green ""s""",4,the dax,123,function,shape,1,,,no,no,
4/29/2025,,,69,male,,12/8/2019,64.00,5.33,,,,present wrapped dog toy,5,the fep,231,function,shape,1,,,no,no,
4/29/2025,,,69,male,,12/8/2019,64.00,5.33,,,,scissors w/bubbles,6,the blicket,312,function,function,2,,,no,no,
4/29/2025,,,69,male,,12/8/2019,64.00,5.33,,,,brown clay heart,7,the gorp,123,material,function,2,,,no,no,
4/29/2025,,,69,male,,12/8/2019,64.00,5.33,,,,white circular box,1,the wap,231,material,shape,1,,,no,no,
4/29/2025,,,69,male,,12/8/2019,64.00,5.33,,,,the clay plate,2,the blint ,312,material,shape,1,,,no,no,
4/29/2025,,,69,male,,12/8/2019,64.00,5.33,,,,orange box,3,the zimbo,123,material,shape,1,,,no,no,
5/2/2025,Nive,Samah,70,male,,5/31/2020,59.00,4.92,,,,orange box,3,the dax,123,material,shape,1,hesitated between shape and material ,,yes,no,
5/2/2025,,,70,male,,5/31/2020,59.00,4.92,,,,"green ""s""",4,the fep,231,material,shape,1,hesitated as well,,yes,no,
5/2/2025,,,70,male,,5/31/2020,59.00,4.92,,,,present wrapped dog toy,5,the blicket,312,material,shape,1,,,no,no,
5/2/2025,,,70,male,,5/31/2020,59.00,4.92,,,,scissors w/bubbles,6,the gorp,123,function,shape,1,"clearly asked whether it opens or not, the green one was flipped",,no,no,
5/2/2025,,,70,male,,5/31/2020,59.00,4.92,,,,brown clay heart,7,the wap,231,function,function,2,,,no,no,
5/2/2025,,,70,male,,5/31/2020,59.00,4.92,,,,white circular box,1,the blint ,312,function,shape,1,said it can open or something like that,,no,no,
5/2/2025,,,70,male,,5/31/2020,59.00,4.92,,,,the clay plate,2,the zimbo,123,function,function,2,,,no,no,
5/8/2025,Nive,,71,male,"C, Av",8/31/2020,56.00,4.67,,,,,,,,,,,,,no,no,
5/8/2025,has to be uploaded,,71,male,"C, Av",8/31/2020,56.00,4.67,,,,,,,,,,,,,no,no,
5/8/2025,,,71,male,"C, Av",8/31/2020,56.00,4.67,,,,,,,,,,,,,no,no,
5/8/2025,,,71,male,"C, Av",8/31/2020,56.00,4.67,,,,,,,,,,,,,no,no,
5/8/2025,,,71,male,"C, Av",8/31/2020,56.00,4.67,,,,,,,,,,,,,no,no,
5/8/2025,,,71,male,"C, Av",8/31/2020,56.00,4.67,,,,,,,,,,,,,no,no,
5/8/2025,,,71,male,"C, Av",8/31/2020,56.00,4.67,,,,,,,,,,,,,no,no,
5/14/2025,Sadio,,72,,,4/19/2021,48.00,4.00,,,1,scissors w/bubbles,6,,231,function,,,,,no,no,
5/14/2025,,,72,,,4/19/2021,48.00,4.00,,,2,,,,312,function,,,,,no,no,
5/14/2025,,,72,,,4/19/2021,48.00,4.00,,,3,,,,123,function,,,,,no,no,
5/14/2025,,,72,,,4/19/2021,48.00,4.00,,,4,,,,231,material,,,,,no,no,
5/14/2025,,,72,,,4/19/2021,48.00,4.00,,,5,,,,312,material,,,,,no,no,
5/14/2025,,,72,,,4/19/2021,48.00,4.00,,,6,,,,123,material,,,,,no,no,
5/14/2025,,,72,,,4/19/2021,48.00,4.00,,,7,,,,231,material,,,,,no,no,
,,,,,,,0.00,0.00,,,,,,,,,,,,,no,no,
,,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,,0.00,0.00,,,1,,,,,,,,,,,,
,,,,,,,0.00,0.00,,,2,,!,,,,,,,,,,
,,,,,,,0.00,0.00,,,3,,!,,,,,,,,,,
,,,,,,,0.00,0.00,,,4,,!,,,,,,,,,,
,,,,,,,0.00,0.00,,,5,,!,,,,,,,,,,
,,,,,,,0.00,0.00,,,6,,!,,,,,,,,,,
,,,,,,,0.00,0.00,,,7,,!,,,,,,,,,,
,,,,,,,0.00,0.00,,,1,,!,,,,,,,,,,
,,,,,,,0.00,0.00,,,2,,!,,,,,,,,,,
,,,,,,,0.00,0.00,,,3,,!,,,,,,,,,,
,,,,,,,0.00,0.00,,,4,,!,,,,,,,,,,
,,,,,,,0.00,0.00,,,5,,!,,,,,,,,,,
,,,,,,,0.00,0.00,,,6,,!,,,,,,,,,,
,,,,,,,0.00,0.00,,,7,,!,,,,,,,,,,
,,,,,,,0.00,0.00,,,1,,!,,,,,,,,,,
,,,,,,,0.00,0.00,,,2,,!,,,,,,,,,,
,,,,,,,0.00,0.00,,,3,,!,,,,,,,,,,
,,,,,,,0.00,0.00,,,4,,!,,,,,,,,,,
,,,,,,,0.00,0.00,,,5,,!,,,,,,,,,,
,,,,,,,0.00,0.00,,,6,,!,,,,,,,,,,
,,,,,,,0.00,0.00,,,7,,!,,,,,,,,,,
,,,,,,,0.00,0.00,,,1,,!,,,,,,,,,,
,,,,,,,0.00,0.00,,,2,,!,,,,,,,,,,
,,,,,,,0.00,0.00,,,3,,!,,,,,,,,,,
,,,,,,,0.00,0.00,,,4,,!,,,,,,,,,,
,,,,,,,0.00,0.00,,,5,,!,,,,,,,,,,
,,,,,,,0.00,0.00,,,6,,!,,,,,,,,,,
,,,,,,,0.00,0.00,,,7,,!,,,,,,,,,,
,,,,,,,0.00,0.00,,,1,,!,,,,,,,,,,
,,,,,,,0.00,0.00,,,2,,!,,,,,,,,,,
,,,,,,,0.00,0.00,,,3,,!,,,,,,,,,,
,,,,,,,0.00,0.00,,,4,,!,,,,,,,,,,
,,,,,,,0.00,0.00,,,5,,!,,,,,,,,,,
,,,,,,,0.00,0.00,,,6,,!,,,,,,,,,,
,,,,,,,0.00,0.00,,,7,,!,,,,,,,,,,
,,,,,,,0.00,0.00,,,1,,!,,,,,,,,,,
,,,,,,,0.00,0.00,,,2,,!,,,,,,,,,,
,,,,,,,0.00,0.00,,,3,,!,,,,,,,,,,
,,,,,,,0.00,0.00,,,4,,!,,,,,,,,,,
,,,,,,,0.00,0.00,,,5,,!,,,,,,,,,,
,,,,,,,0.00,0.00,,,6,,!,,,,,,,,,,
,,,,,,,0.00,0.00,,,7,,!,,,,,,,,,,
,,,,,,,0.00,0.00,,,1,,!,,,,,,,,,,
,,,,,,,0.00,0.00,,,2,,!,,,,,,,,,,
,,,,,,,0.00,0.00,,,3,,!,,,,,,,,,,
,,,,,,,0.00,0.00,,,4,,!,,,,,,,,,,
,,,,,,,0.00,0.00,,,5,,!,,,,,,,,,,
,,,,,,,0.00,0.00,,,6,,!,,,,,,,,,,
,,,,,,,0.00,0.00,,,7,,!,,,,,,,,,,
,,,,,,,0.00,0.00,,,1,,!,,,,,,,,,,
,,,,,,,0.00,0.00,,,2,,!,,,,,,,,,,
,,,,,,,0.00,0.00,,,3,,!,,,,,,,,,,
,,,,,,,0.00,0.00,,,4,,!,,,,,,,,,,
,,,,,,,0.00,0.00,,,5,,!,,,,,,,,,,
,,,,,,,0.00,0.00,,,6,,!,,,,,,,,,,
,,,,,,,0.00,0.00,,,7,,!,,,,,,,,,,
,,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,,0.00,0.00,,,1,,,,,,,,,,,,
,,,,,,,0.00,0.00,,,2,,,,,,,,,,,,
,,,,,,,0.00,0.00,,,3,,,,,,,,,,,,
,,,,,,,0.00,0.00,,,4,,,,,,,,,,,,
,,,,,,,0.00,0.00,,,5,,,,,,,,,,,,
,,,,,,,0.00,0.00,,,6,,,,,,,,,,,,
,,,,,,,0.00,0.00,,,7,,,,,,,,,,,,
,,,,,,,0.00,0.00,,,1,,,,,,,,,,,,
,,,,,,,0.00,0.00,,,2,,,,,,,,,,,,
,,,,,,,0.00,0.00,,,3,,,,,,,,,,,,
,,,,,,,0.00,0.00,,,4,,,,,,,,,,,,
,,,,,,,0.00,0.00,,,5,,,,,,,,,,,,
,,,,,,,0.00,0.00,,,6,,,,,,,,,,,,
,,,,,,,0.00,0.00,,,7,,,,,,,,,,,,
,,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,,0.00,0.00,,,,,,,,,,,,,,,
