date,experimenter,kidid,gender,race,birthday,age (months),age (years),bilingual,2ndlang,trial,standard,standard_number,standardlabel,order,condition,dimension,response,notes,exclude?,confused?,more than one,material comment
2/19/2025,,37,male,asian,7/26/2020,54.00,4.50,,,6,"green ""s""",4,the wap,312,material,2,material,"goes down the list and says this is not, this is not, before selecting the one he originally picked up",,no,no,no
2/19/2025,,37,male,asian,7/26/2020,54.00,4.50,,,7,present wrapped dog toy,5,the zimbo,123,material,1,shape,"asks ""what is this"" for one of the objects? seems a bit confused with instructions but after its repeated selects ",,yes,no,no
2/19/2025,,38,female,white,3/5/2021,47.00,3.92,,,1,present wrapped dog toy,5,the dax,123,material,1,shape,,,no,no,no
2/19/2025,,38,female,white,3/5/2021,47.00,3.92,,,2,scissors w/bubbles,6,the fep,231,material,2,material,"says ""you know all of these names""",,no,no,no
2/19/2025,,38,female,white,3/5/2021,47.00,3.92,,,3,brown clay heart,7,the blicket,312,material,2,material,,,no,no,no
2/19/2025,,38,female,white,3/5/2021,47.00,3.92,,,4,white circular box,1,the gorp,123,function,1,shape,mentions how it can open,,no,no,no
2/19/2025,,38,female,white,3/5/2021,47.00,3.92,,,5,the clay plate,2,the blint ,231,function,3,distractor,"""some things are made out of wood""",,no,no,no
2/19/2025,,38,female,white,3/5/2021,47.00,3.92,,,6,orange box,3,the wap,312,function,1,shape,,,no,no,no
2/19/2025,,38,female,white,3/5/2021,47.00,3.92,,,7,"green ""s""",4,the zimbo,123,function,1,shape,"mentions how it looks like a s, says she has an S in her name after an I (is this identifying?)",,no,no,no
2/24/2025,,39,male,,4/20/2021,46.00,3.83,,,1,"green ""s""",4,the dax,123,function,2,function,,,no,no,no
2/24/2025,,39,male,,4/20/2021,46.00,3.83,,,2,present wrapped dog toy,5,the fep,231,function,1,shape,"doesn't want to play with the object the first time, picks up the other dog toy and it squeaks and says ""it's easy to squish that one"" ",,no,no,no
2/24/2025,,39,male,,4/20/2021,46.00,3.83,,,3,scissors w/bubbles,6,the blicket,312,function,2,function,"asks how he should play with it, initially picks one up and says this one, but ends up picking up another one and plays with it/chooses it",,no,yes,no
2/24/2025,,39,male,,4/20/2021,46.00,3.83,,,4,brown clay heart,7,the gorp,123,material,2,material,picks it up and puts it next to standard,,no,no,no
2/24/2025,,39,male,,4/20/2021,46.00,3.83,,,5,white circular box,1,the blint ,231,material,1,shape,"asks what does the blint do and experimenter says ""this is just the blint"", picks all objects up saying ""this one?"" and experimenter waits till he makes final choice",,yes,no,no
2/24/2025,,39,male,,4/20/2021,46.00,3.83,,,6,the clay plate,2,the wap,312,material,1,shape,points out that one of the objects is made out of tissue,,no,no,points out that one of the objects is made out of tissue
2/24/2025,,39,male,,4/20/2021,46.00,3.83,,,7,orange box,3,the zimbo,123,material,2,material,"asks what does it do and experimenter says lets find out, asks what it does again and experimenter says ""I don't know right now we're just finding another one""",,no,no,no
2/25/2025,,40,,,9/23/2020,53.00,4.42,,,1,"green ""s""",4,the dax,123,function,3,distractor,"points out that it looks like a snake and researcher says no this is a dax, researcher says ""picks up small toys"" instead of grabs, child seems a bit confused and points to all 3, when asked to make final decision they point to the distractor",not sure about the inclusion of this trial,no,yes,no
2/25/2025,,40,,,9/23/2020,53.00,4.42,,,2,present wrapped dog toy,5,the fep,231,function,1,shape,"researcher says ""you can squish it and it makes a little noise"" instead of it sqeuaks ",,no,no,no
2/25/2025,,40,,,9/23/2020,53.00,4.42,,,3,scissors w/bubbles,6,the blicket,312,function,2,function,"researcher says ""the blicket picks up sand"" instead of scoops",,no,no,no
2/25/2025,,40,,,9/23/2020,53.00,4.42,,,4,brown clay heart,7,the gorp,123,material,1,shape,"asks ""can i see what it can do?"" x3 and researcher says i dont know, researcher says ""wow you're so good at this""",,no,no,no
2/25/2025,,40,,,9/23/2020,53.00,4.42,,,5,white circular box,1,the blint ,231,material,1,shape,"asks what can it do x3 and researcher says ""i dont know but i need your help finding another one"", researcher says you're going so fast (compliment)",,no,no,no
2/25/2025,,40,,,9/23/2020,53.00,4.42,,,6,the clay plate,2,the wap,312,material,1,shape,"child says ""what if i don't know another wap"", selects one but says what is this, prompted the question again, child seems indecisive , researcher says one final choice and child changes their answer",,yes,yes,no
2/25/2025,,40,,,9/23/2020,53.00,4.42,,,7,orange box,3,the zimbo,123,material,3,distractor,"researcher says no touching because it breaks easily, child asks if they can see another zimbo, points to the yellow part and says ""is that an egg""",,no,no,no
2/26/2025,,41,male,,1/16/2021,49.00,4.08,,,1,orange box,3,the dax,123,material,1,shape,,,no,no,no
2/26/2025,,41,male,,1/16/2021,49.00,4.08,,,2,"green ""s""",4,the fep,231,material,1,shape,,,no,no,no
2/26/2025,,41,male,,1/16/2021,49.00,4.08,,,3,present wrapped dog toy,5,the blicket,312,material,1,shape,,,no,no,no
2/26/2025,,41,male,,1/16/2021,49.00,4.08,,,4,scissors w/bubbles,6,the gorp,123,function,1,shape,"researcher said ""a gorp grabs sand"" but it should ""scoop""",,no,no,no
2/26/2025,,41,male,,1/16/2021,49.00,4.08,,,5,brown clay heart,7,the blint ,231,function,2,function,"researcher said ""heart shape""",,no,no,no
2/26/2025,,41,male,,1/16/2021,49.00,4.08,,,6,white circular box,1,the wap,312,function,1,shape,,,no,no,no
2/26/2025,,41,male,,1/16/2021,49.00,4.08,,,7,the clay plate,2,the zimbo,123,function,1,shape,,,no,no,no
2/26/2025,,42,,,,"1,501.00",125.08,,,1,,!,,123,,,,,,no,no,no
2/26/2025,,42,,,,"1,501.00",125.08,,,2,,!,,231,,,,,,no,no,no
2/26/2025,,42,,,,"1,501.00",125.08,,,3,,!,,312,,,,,,no,no,no
2/26/2025,,42,,,,"1,501.00",125.08,,,4,,!,,123,,,,,,no,no,no
2/26/2025,,42,,,,"1,501.00",125.08,,,5,,!,,231,,,,,,no,no,no
2/26/2025,,42,,,,"1,501.00",125.08,,,6,,!,,312,,,,,,no,no,no
2/26/2025,,42,,,,"1,501.00",125.08,,,7,,!,,123,,,,,,no,no,no
2/25/2025,,43,male,,4/6/2022,34.00,2.83,,,1,orange box,3,the dax,123,material,2,material,"""can that open?""",,no,no,no
2/25/2025,,43,male,,4/6/2022,34.00,2.83,,,2,"green ""s""",4,the fep,231,material,2,material,,,no,no,no
2/25/2025,,43,male,,4/6/2022,34.00,2.83,,,3,present wrapped dog toy,5,the blicket,312,material,1,shape,,,no,no,no
2/25/2025,,43,male,,4/6/2022,34.00,2.83,,,4,scissors w/bubbles,6,the gorp,123,function,1,shape,"""it's so squiggly. wow it opens!"", seems to mention how sand would move through the object",,no,no,no
2/25/2025,,43,male,,4/6/2022,34.00,2.83,,,5,brown clay heart,7,the blint ,231,function,2,function,"""it's like a chocolate, it's so squiggly""",,no,no,no
2/25/2025,,43,male,,4/6/2022,34.00,2.83,,,6,white circular box,1,the wap,312,function,1,shape,"child was immediately distracted by the fx match object, asked if it opened ",,no,no,no
2/25/2025,,43,male,,4/6/2022,34.00,2.83,,,7,the clay plate,2,the zimbo,123,function,2,function,"""it's so heavy""",,no,no,no
2/25/2025,,44,male,,4/27/2022,33.00,2.75,,,1,"green ""s""",4,the dax,123,function,2,function,,,no,no,no
2/25/2025,,44,male,,4/27/2022,33.00,2.75,,,2,present wrapped dog toy,5,the fep,132,function,1,shape,,,no,no,no
2/25/2025,,44,male,,4/27/2022,33.00,2.75,,,3,scissors w/bubbles,6,the blicket,312,function,2,function,,,no,no,no
2/25/2025,,44,male,,4/27/2022,33.00,2.75,,,4,brown clay heart,7,the gorp,123,material,2,material,,,no,no,no
2/25/2025,,44,male,,4/27/2022,33.00,2.75,,,5,white circular box,1,the blint ,231,material,1,shape,,,no,no,no
2/25/2025,,44,male,,4/27/2022,33.00,2.75,,,6,the clay plate,2,the wap,312,material,1,shape,,,no,no,no
2/25/2025,,44,male,,4/27/2022,33.00,2.75,,,7,orange box,3,the zimbo,123,material,1,shape,,,no,no,no
3/4/2025,,45,female,,2/22/2022,36.00,3.00,,,1,white circular box,1,the dax,123,material,3,distractor,child struggled to identify the paper in the warm up trial (she may have just been distracted); child also kept getting up to see the objects under the table; she maybe picked this of her own accord...maybe was just going with the researcher's approval?,,no,no,no
3/4/2025,,45,female,,2/22/2022,36.00,3.00,,,2,the clay plate,2,the fep,231,material,2,material,,,no,no,no
3/4/2025,,45,female,,2/22/2022,36.00,3.00,,,3,orange box,3,the blicket,312,material,1,shape,,,no,no,no
3/4/2025,,45,female,,2/22/2022,36.00,3.00,,,4,"green ""s""",4,the gorp,123,function,3,distractor,,,no,no,no
3/4/2025,,45,female,,2/22/2022,36.00,3.00,,,5,present wrapped dog toy,5,the blint ,231,function,1,shape,,,no,no,no
3/4/2025,,45,female,,2/22/2022,36.00,3.00,,,6,scissors w/bubbles,6,the wap,312,function,1,shape,,,no,no,no
3/4/2025,,45,female,,2/22/2022,36.00,3.00,,,7,brown clay heart,7,the zimbo,123,function,2,function,,,no,no,no
3/6/2025,,46,male,,3/10/2022,35.00,2.92,,,1,orange box,3,the dax,123,material,1,shape,"during the material warm up, the child said ""theyre not the same"" referring to the 2 papers, even though he identified it correctly",,no,no,no
3/6/2025,,46,male,,3/10/2022,35.00,2.92,,,2,"green ""s""",4,the fep,231,material,1,shape,,,no,no,no
3/6/2025,,46,male,,3/10/2022,35.00,2.92,,,3,present wrapped dog toy,5,the blicket,312,material,1,shape,"""how does it work?""",,no,no,no
3/6/2025,,46,male,,3/10/2022,35.00,2.92,,,4,scissors w/bubbles,6,the gorp,123,function,3,distractor,"""what is it? how does it work?"" picked the distractor and said ""not the same gorp""",,no,no,no
3/6/2025,,46,male,,3/10/2022,35.00,2.92,,,5,brown clay heart,7,the blint ,231,function,2,function,asked to show him how the test object works after he chose it,,no,no,no
3/6/2025,,46,male,,3/10/2022,35.00,2.92,,,6,white circular box,1,the wap,312,function,1,shape,"""how does it work?"" asked why the toys the researcher demonstrated with weren't inside the box anymore. also asked how the shape-matched object opens and why it doesn't",,no,no,no
3/6/2025,,46,male,,3/10/2022,35.00,2.92,,,7,the clay plate,2,the zimbo,123,function,1,shape,"""why is it out of paper?""; at the end of the experiment, he wanted to know how the other test objects worked",,no,no,"""why is it out of paper?"""
3/6/2025,Nive,47,male,,4/9/2021,46.00,3.83,,,1,the clay plate,2,the dax,123,function,2,function,background is noisy,,no,no,no
3/6/2025,,47,male,,4/9/2021,46.00,3.83,,,2,orange box,3,the fep,231,function,2,function,"used the wrong function trial, and child ended up picking it ",,no,no,no
3/6/2025,,47,male,,4/9/2021,46.00,3.83,,,3,"green ""s""",4,the blicket,312,function,1,shape,"experimenter says ""collects"" instead of grabs, experimenter in between says ""you're doing so good""",,no,no,no
3/6/2025,,47,male,,4/9/2021,46.00,3.83,,,4,present wrapped dog toy,5,the gorp,123,material,1,shape,,,no,no,no
3/6/2025,,47,male,,4/9/2021,46.00,3.83,,,5,scissors w/bubbles,6,the blint ,231,material,2,material,,,no,no,no
3/6/2025,,47,male,,4/9/2021,46.00,3.83,,,6,brown clay heart,7,the wap,312,material,2,material,,,no,no,no
3/6/2025,,47,male,,4/9/2021,46.00,3.83,,,7,white circular box,1,the zimbo,123,material,1,shape,experimenter shows the shape condition first by accident,,no,no,no
3/11/2025,Nive,48,,,1/10/2021,50.00,4.17,,,1,brown clay heart,7,the dax,123,function,1,shape,"experimenter says ""makes a heart shape"" instead of makes a heart",,no,no,no
3/11/2025,,48,,,1/10/2021,50.00,4.17,,,2,white circular box,1,the fep,231,function,2,function,"kid says it can open and close, after picking the kid says ""I like the house one"" and says there's 3 of ""them""",,no,yes,no
3/11/2025,,48,,,1/10/2021,50.00,4.17,,,3,the clay plate,2,the blicket,312,function,1,shape,"kid asks what happens if you keep the water in there, when picking says it looks the same ",,no,no,no
3/11/2025,,48,,,1/10/2021,50.00,4.17,,,4,orange box,3,the gorp,123,material,2,material,"kid says ""gorps have holes""",,no,no,no
3/11/2025,,48,,,1/10/2021,50.00,4.17,,,5,"green ""s""",4,the blint ,231,material,2,material,says it looks like the number 2,,no,no,no
3/11/2025,,48,,,1/10/2021,50.00,4.17,,,6,present wrapped dog toy,5,the wap,312,material,1,shape,,,no,no,no
3/11/2025,,48,,,1/10/2021,50.00,4.17,,,7,scissors w/bubbles,6,the zimbo,123,material,2,material,says it looks like balloons that might pop,,no,no,no
3/11/2025,Nive,49,,,7/28/2021,43.00,3.58,,,1,scissors w/bubbles,6,the dax,123,material,1,shape,says they kind of look like scissors,,no,no,no
3/11/2025,,49,,,7/28/2021,43.00,3.58,,,2,brown clay heart,7,the fep,231,material,1,shape,facing down and heart can't be seen,yes,no,no,no
3/11/2025,,49,,,7/28/2021,43.00,3.58,,,3,white circular box,1,the blicket,312,material,1,shape,"kid says it has 2 things on it, after selecting says ""but that one's red and this one's white""",,no,no,no
3/11/2025,,49,,,7/28/2021,43.00,3.58,,,4,the clay plate,2,the gorp,123,function,1,shape,says its kinda heavy and that it doesn't spill ,,no,no,no
3/11/2025,,49,,,7/28/2021,43.00,3.58,,,5,orange box,3,the blint ,231,function,1,shape,"points to both the shape object and the standard object, after asks what's that",,no,no,no
3/11/2025,,49,,,7/28/2021,43.00,3.58,,,6,"green ""s""",4,the wap,312,function,1,shape,"asks why it makes a slapping sound, says it's kind of like their mom? says it's like a button pusher, experimenter says ""collects"" instead of grabs ",,no,no,no
3/11/2025,,49,,,7/28/2021,43.00,3.58,,,7,present wrapped dog toy,5,the zimbo,123,function,3,distractor,,,no,no,no
3/11/2025,Meesha,50,,,2/28/2022,36.00,3.00,,,1,brown clay heart,7,the dax,123,function,2,function,asks if the middle shape is a triangle,,no,no,no
3/11/2025,,50,,,2/28/2022,36.00,3.00,,,2,white circular box,1,the fep,231,function,1,shape,"points out that it opens, asks what's inside the shape object after selecting it",,no,no,no
3/11/2025,,50,,,2/28/2022,36.00,3.00,,,3,the clay plate,2,the blicket,312,function,2,function,,,no,no,no
3/11/2025,,50,,,2/28/2022,36.00,3.00,,,4,orange box,3,the gorp,123,material,1,shape,"asks what the yellow eyes are, points to all three when asked to find another one, selects two ?? (shape and distractor obect)",,no,yes,no
3/11/2025,,50,,,2/28/2022,36.00,3.00,,,5,"green ""s""",4,the blint ,231,material,3,distractor,,,no,no,no
3/11/2025,,50,,,2/28/2022,36.00,3.00,,,6,present wrapped dog toy,5,the wap,312,material,1,shape,,,no,no,no
3/11/2025,,50,,,2/28/2022,36.00,3.00,,,7,scissors w/bubbles,6,the zimbo,123,material,2,material,plays with the standard object,,no,no,no
3/23/2025,Sadio,51,,,,"1,502.00",125.17,,,1,white circular box,1,the dax,123,material,2,material,,,no,no,no
3/23/2025,,51,,,,"1,502.00",125.17,,,2,the clay plate,2,the fep,231,material,2,material,says they're both orange,,no,no,no
3/23/2025,rest of the video gets cut off??? can't find the other one,51,,,,"1,502.00",125.17,,,3,orange box,3,the blicket,312,material,,,,,no,no,no
3/23/2025,,51,,,,"1,502.00",125.17,,,4,"green ""s""",4,the gorp,123,function,,,,,no,no,no
3/23/2025,,51,,,,"1,502.00",125.17,,,5,present wrapped dog toy,5,the blint ,231,function,,,,,no,no,no
3/23/2025,,51,,,,"1,502.00",125.17,,,6,scissors w/bubbles,6,the wap,312,function,,,,,no,no,no
3/23/2025,,51,,,,"1,502.00",125.17,,,7,brown clay heart,7,the zimbo,123,function,,,,,no,no,no
,Nive,52,,,,0.00,0.00,,,1,,!,the dax,123,,,,Child had to go before the game started,yes,no,no,no
,Child had to go before the game started,52,,,,0.00,0.00,,,2,,!,the fep,231,,,,,yes,no,no,no
,,52,,,,0.00,0.00,,,3,,!,the blicket,312,,,,,yes,no,no,no
,,52,,,,0.00,0.00,,,4,,!,the gorp,123,,,,,yes,no,no,no
,,52,,,,0.00,0.00,,,5,,!,the blint ,231,,,,,yes,no,no,no
,,52,,,,0.00,0.00,,,6,,!,the wap,312,,,,,yes,no,no,no
,,52,,,,0.00,0.00,,,7,,!,the zimbo,123,,,,,yes,no,no,no
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.00,0.00,,,2,,!,,,,,,,,,,
,,,,,,0.00,0.00,,,3,,!,,,,,,,,,,
,,,,,,0.00,0.00,,,4,,!,,,,,,,,,,
,,,,,,0.00,0.00,,,5,,!,,,,,,,,,,
,,,,,,0.00,0.00,,,6,,!,,,,,,,,,,
,,,,,,0.00,0.00,,,7,,!,,,,,,,,,,
,,,,,,0.00,0.00,,,1,,!,,,,,,,,,,
,,,,,,0.00,0.00,,,2,,!,,,,,,,,,,
,,,,,,0.00,0.00,,,3,,!,,,,,,,,,,
,,,,,,0.00,0.00,,,4,,!,,,,,,,,,,
,,,,,,0.00,0.00,,,5,,!,,,,,,,,,,
,,,,,,0.00,0.00,,,6,,!,,,,,,,,,,
,,,,,,0.00,0.00,,,7,,!,,,,,,,,,,
,,,,,,0.00,0.00,,,1,,!,,,,,,,,,,
,,,,,,0.00,0.00,,,2,,!,,,,,,,,,,
,,,,,,0.00,0.00,,,3,,!,,,,,,,,,,
,,,,,,0.00,0.00,,,4,,!,,,,,,,,,,
,,,,,,0.00,0.00,,,5,,!,,,,,,,,,,
,,,,,,0.00,0.00,,,6,,!,,,,,,,,,,
,,,,,,0.00,0.00,,,7,,!,,,,,,,,,,
,,,,,,0.00,0.00,,,1,,!,,,,,,,,,,
,,,,,,0.00,0.00,,,2,,!,,,,,,,,,,
,,,,,,0.00,0.00,,,3,,!,,,,,,,,,,
,,,,,,0.00,0.00,,,4,,!,,,,,,,,,,
,,,,,,0.00,0.00,,,5,,!,,,,,,,,,,
,,,,,,0.00,0.00,,,6,,!,,,,,,,,,,
,,,,,,0.00,0.00,,,7,,!,,,,,,,,,,
,,,,,,0.00,0.00,,,1,,!,,,,,,,,,,
,,,,,,0.00,0.00,,,2,,!,,,,,,,,,,
,,,,,,0.00,0.00,,,3,,!,,,,,,,,,,
,,,,,,0.00,0.00,,,4,,!,,,,,,,,,,
,,,,,,0.00,0.00,,,5,,!,,,,,,,,,,
,,,,,,0.00,0.00,,,6,,!,,,,,,,,,,
,,,,,,0.00,0.00,,,7,,!,,,,,,,,,,
,,,,,,0.00,0.00,,,1,,!,,,,,,,,,,
,,,,,,0.00,0.00,,,2,,!,,,,,,,,,,
,,,,,,0.00,0.00,,,3,,!,,,,,,,,,,
,,,,,,0.00,0.00,,,4,,!,,,,,,,,,,
,,,,,,0.00,0.00,,,5,,!,,,,,,,,,,
,,,,,,0.00,0.00,,,6,,!,,,,,,,,,,
,,,,,,0.00,0.00,,,7,,!,,,,,,,,,,
,,,,,,0.00,0.00,,,1,,!,,,,,,,,,,
,,,,,,0.00,0.00,,,2,,!,,,,,,,,,,
,,,,,,0.00,0.00,,,3,,!,,,,,,,,,,
,,,,,,0.00,0.00,,,4,,!,,,,,,,,,,
,,,,,,0.00,0.00,,,5,,!,,,,,,,,,,
,,,,,,0.00,0.00,,,6,,!,,,,,,,,,,
,,,,,,0.00,0.00,,,7,,!,,,,,,,,,,
,,,,,,0.00,0.00,,,1,,!,,,,,,,,,,
,,,,,,0.00,0.00,,,2,,!,,,,,,,,,,
,,,,,,0.00,0.00,,,3,,!,,,,,,,,,,
,,,,,,0.00,0.00,,,4,,!,,,,,,,,,,
,,,,,,0.00,0.00,,,5,,!,,,,,,,,,,
,,,,,,0.00,0.00,,,6,,!,,,,,,,,,,
,,,,,,0.00,0.00,,,7,,!,,,,,,,,,,
,,,,,,0.00,0.00,,,1,,!,,,,,,,,,,
,,,,,,0.00,0.00,,,2,,!,,,,,,,,,,
,,,,,,0.00,0.00,,,3,,!,,,,,,,,,,
,,,,,,0.00,0.00,,,4,,!,,,,,,,,,,
,,,,,,0.00,0.00,,,5,,!,,,,,,,,,,
,,,,,,0.00,0.00,,,6,,!,,,,,,,,,,
,,,,,,0.00,0.00,,,7,,!,,,,,,,,,,
,,,,,,0.00,0.00,,,1,,!,,,,,,,,,,
,,,,,,0.00,0.00,,,2,,!,,,,,,,,,,
,,,,,,0.00,0.00,,,3,,!,,,,,,,,,,
,,,,,,0.00,0.00,,,4,,!,,,,,,,,,,
,,,,,,0.00,0.00,,,5,,!,,,,,,,,,,
,,,,,,0.00,0.00,,,6,,!,,,,,,,,,,
,,,,,,0.00,0.00,,,7,,!,,,,,,,,,,
,,,,,,0.00,0.00,,,1,,!,,,,,,,,,,
,,,,,,0.00,0.00,,,2,,!,,,,,,,,,,
,,,,,,0.00,0.00,,,3,,!,,,,,,,,,,
,,,,,,0.00,0.00,,,4,,!,,,,,,,,,,
,,,,,,0.00,0.00,,,5,,!,,,,,,,,,,
,,,,,,0.00,0.00,,,6,,!,,,,,,,,,,
,,,,,,0.00,0.00,,,7,,!,,,,,,,,,,
,,,,,,0.00,0.00,,,1,,!,,,,,,,,,,
,,,,,,0.00,0.00,,,2,,!,,,,,,,,,,
,,,,,,0.00,0.00,,,3,,!,,,,,,,,,,
,,,,,,0.00,0.00,,,4,,!,,,,,,,,,,
,,,,,,0.00,0.00,,,5,,!,,,,,,,,,,
,,,,,,0.00,0.00,,,6,,!,,,,,,,,,,
,,,,,,0.00,0.00,,,7,,!,,,,,,,,,,
,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,0.00,0.00,,,1,,,,,,,,,,,,
,,,,,,0.00,0.00,,,2,,,,,,,,,,,,
,,,,,,0.00,0.00,,,3,,,,,,,,,,,,
,,,,,,0.00,0.00,,,4,,,,,,,,,,,,
,,,,,,0.00,0.00,,,5,,,,,,,,,,,,
,,,,,,0.00,0.00,,,6,,,,,,,,,,,,
,,,,,,0.00,0.00,,,7,,,,,,,,,,,,
,,,,,,0.00,0.00,,,1,,,,,,,,,,,,
,,,,,,0.00,0.00,,,2,,,,,,,,,,,,
,,,,,,0.00,0.00,,,3,,,,,,,,,,,,
,,,,,,0.00,0.00,,,4,,,,,,,,,,,,
,,,,,,0.00,0.00,,,5,,,,,,,,,,,,
,,,,,,0.00,0.00,,,6,,,,,,,,,,,,
,,,,,,0.00,0.00,,,7,,,,,,,,,,,,
,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,0.00,0.00,,,,,,,,,,,,,,,
